comment,original,translation
ch03.xml:532,Reply-to: sender@email.address.here,"Responder-a: remitente@dirección de correo, "
ch03.xml:534,"header, but most do, because it gives recipients a foolproof way to reach the author (it is especially useful when the author had to send from an address other than the one to which replies should be directed).","pero as máis delas a levan, xa que lle oferce ao destinatario un camiño seguro para acceder ao autor da mensaxe (o que é especialmente útil cando o autor tivo que enviar a mensaxe dende unha dirección distinta a aquela a que desexa que se lle remitan as respostas)."
ch03.xml:539,"Some mail reading software offers an easy-to-use interface for filing mails based on patterns in the Subject header. This leads people to request that the mailing list add an automatic prefix to all Subjects, so they can set their readers to look for that prefix and automatically file the mails in the right folder. The idea is that the original author would write:","Algún software de lectura de correo ofrece unha interfaz de uso sinxelo para filtrar mensaxes basándose en patróns da cabeceira ""asunto"". Isto leva a que a xente pida que a lista engada un prefixo automático a todos os asuntos, de xeito que se poida configurar o programa para que recoñeza ese prefixo e arquive automáticamente na carpeta correcta as mensaxes que o levan. A idea é que o autor da mensaxe escribiría:"
ch03.xml:546,Subject: Making the 2.5 release.,Asunto: Preparando a liberación 2.5.
ch03.xml:548,but the mail would show up on the list looking like this:,pero a mensaxe se vería na lista deste xeito:
ch03.xml:550,Subject: [discuss@lists.example.org] Making the 2.5 release.,Asunto: [discusions@listas.examplo.org] Preparando a liberación 2.5.
ch03.xml:552,"Although most list management software offers the option to do this, I strongly recommend against turning the option on. The problem it solves can easily be solved in much less obtrusive ways, and the cost of eating space in the Subject field is far too high. Experienced mailing list users typically scan the Subjects of the day's incoming list mail to decide what to read and/or respond to. Prepending the list's name to the Subject can push the right side of the Subject off the screen, rendering it invisible. This obscures information that people depend on to decide what mails to open, thus reducing the overall functionality of the mailing list for everyone.","Aínda que a maioría dos programas de xestións de listas ofrecen esta opción, persoalmente recomendo fortemente non activala. O problema que resolve pode ser sinxelamente obviado por métodos menos intrusivos, e o coste de reducir o espazo da cabeceira asunto é considerablemente superior. Os usuarios experimentados de listas de correo adoitan explorar os asuntos da lista de mensaxes entrantes do día antes de decidir cal leer ou a cal respostar. facendo que o nome da lista anteceda ao asunto empuxa o contido deste hacia o lado dereito da pantalla, poidendo facer que non sexa visible. Isto oculta información da que a xente depende para decidir qué mensaxes abrir, reducindo así a utilidade xeneral da lista para todo o mundo."
ch03.xml:564,"Instead of munging the Subject header, teach your users to take advantage of the other standard headers, starting with the To header, which should say the mailing list's name:","En lugar de transformar a cabeceira Asunto, aprende aos teus usuarios a tirar partido de outras cabeceiras estándar, empezando pola cabeceira Para, que debería conter o nome da lista:"
ch03.xml:568,To: &lt;discuss@lists.example.org&gt;,Para: &lt;discusion@listas.examplo.org&gt;
ch03.xml:570,Any mail reader that can filter on Subject should be able to filter on To just as easily.,Calqueira lector de correo que popida filtrar o Asunto debería tamén poder filtrar o Para igoal de sinxelamente.
ch03.xml:573,"There are a few other optional-but-standard headers expected for mailing lists. Filtering on these is even more reliable than using the ""To"" or ""Cc"" headers; since these headers are added to each post by the mailing list management software itself, some users may be counting on their presence:","Hai unhas poucas cabeceiras máis de listas de correo que son opcionáis pero estándar. Filtralas é incluso máis preciso que facelo sobre as ""Para"" ou ""CC""; dado que estas cabeceiras son engadidas ás mensaxes polo propio software de xestión de listas, algúns usuarios poden estar contando coa súa presencia:"
ch03.xml:579,"list-help: &lt;mailto:discuss-help@lists.example.org&gt;
list-unsubscribe: &lt;mailto:discuss-unsubscribe@lists.example.org&gt;
list-post: &lt;mailto:discuss@lists.example.org&gt;
Delivered-To: mailing list discuss@lists.example.org
Mailing-List: contact discuss-help@lists.example.org; run by ezmlm","axuda-lista: &lt;mailto:discuss-help@lists.example.org&gt;
baixa-lista: &lt;mailto:discuss-unsubscribe@lists.example.org&gt;
envio-a-lista: &lt;mailto:discuss@lists.example.org&gt;
Distribuido-a:: mailing list discuss@lists.example.org
Lista: contactar discuss-help@lists.example.org; run by ezmlm"
ch03.xml:581,"For the most part, they are self-explanatory. See <ulink url=""http://www.nisto.com/listspec/list-manager-intro.html""></ulink> for more explanation, or if you need the really detailed, formal specification, see <ulink url=""http://www.faqs.org/rfcs/rfc2369.html""></ulink>.","As máis delas, se autoexplican. Mira <ulink url=""http://www.nisto.com/listspec/list-manager-intro.html""></ulink> para máis explicacións, ou si precisas especificacións realmente detalladas e formáis, podes ver <ulink url=""http://www.faqs.org/rfcs/rfc2369.html""></ulink>."
ch03.xml:586,"Notice how these headers imply that if you have a mailing list named ""list"", then you also have administrative addresses ""list-help"" and ""list-unsubscribe"" available. In addition to these, it is normal to have ""list-subscribe"", for joining, and ""list-owner"", for reaching the list administrators. Depending on the list management software you use, these and/or various other administrative addresses may be set up; the documentation will have details. Usually a complete explanation of all these special addresses is mailed to each new user as part of an automated ""welcome mail"" on subscribing. You yourself will probably get a copy of this welcome mail. If you don't, then ask someone else for a copy, so you know what your users are seeing when they join the list. Keep the copy handy so you can answer questions about the mailing list functions, or better yet, put it on a web page somewhere. That way when people lose their own copy of the instructions and post to ask ""How do I unsubscribe from this list?"", you can just hand them the URL.","Ten en conta que estas cabeceiras implican que si tés unha  lista denominada ""lista"", tamén vas dispor de  direccións administrativas ""axuda-lista"" e ""baixa-lista"". Ademáis, é habitual ter ""suscripción-lista"", para darse de alta, e ""propietario-lista"" para contactar cós seus administradores. Xeralmente se envía automáticamente a explicación sobre a utilidade e todas estas direccións aos novos suscriptores como parte dunha mensaxe de benvida. Probablemente tí mesmo tés copia desta mensaxes de benvida. Si non é así pídelle a alguén que cha pase, para que poidas coñecer qué é o que os teus usuarios reciben cando se dan de alta na lista. Ten a copia a man de xeito qu epoidas respostar preguntas sobre o funcionamento da lista ou, incluso mellor, publicaa en algunha páxina web. Diste xeito, cando alguén perda a súa copia e che mande unha mensaxe preguntando ""Como poido darme de baixa nesta lista?, tí só terás que enviarlle a correspondente URL."
ch03.xml:603,"Some mailing list software offers an option to append unsubscription instructions to the bottom of every post. If that option is available, turn it on. It causes only a couple of extra lines per message, in a harmless location, and it can save you a lot of time, by cutting down on the number of people who mail you&mdash;or worse, mail the list!&mdash;asking how to unsubscribe.","Algúns programas de listas de correo ofrecen unha opción para engadirao pé das mensaxes as instruccións para darse de baixa. Si é así, actívala. Só produce un par de líneas de máis por mensaxe, nunha localización onde non estorban, e pode aforrarche unha boa cantidade de tempo diminuindo a cantidade de xente que che envía consultas &mdash;ou peor, que manda unha mensaxe á lista!&mdash;preguntando como darse de baixa."
ch03.xml:614,The Great Reply-to Debate,O Gran Debate sobre Responder-A (Reply-To)
ch03.xml:616,"Earlier, in <xref linkend=""avoid-private-discussions""/>, I stressed the importance of making sure discussions stay in public forums, and talked about how active measures are sometimes needed to prevent conversations from trailing off into private email threads; furthermore, this chapter is all about setting up project communications software to do as much of the work for you as possible. Therefore, if the mailing list management software offers a way to automatically cause discussions to stay on the list, you would think turning that feature on would be the obvious choice.","Antes, en <xref linkend=""evita discusións privadas""/>, encarecín a importancia de manter discusións seguras nos foros públicos, e faléi sobre como é as veces necesario adoptar medidas activas para evitares a conversión de discusións en fíos privados; máis adiante, este capítulo trata completamente sobre a configuración do software de comunicacións para que faga por tí tanto traballo como sexa posible. Polo tanto, se o software de administración ofrece unha maneira automatizda para evitar que se establezan discusións na lista, deberías pensar que activar esa opción é a decisión obvia."
ch03.xml:626,"Well, not quite. There is such a feature, but it has some pretty severe disadvantages. The question of whether or not to use it is one of the hottest debates in mailing list management&mdash;admittedly, not a controversy that's likely to make the evening news in your city, but it can flare up from time to time in free software projects. Below, I will describe the feature, give the major arguments on both sides, and make the best recommendation I can.","Ben non tanto. Existe a dita utilidad, pero presenta algunhas desavantaxes realmente importantes. a cuestión de si usala ou non constitue un dos debates máis quentes no mundo da xestión de listas&mdash;admitámolo, non unha controversia como para sair nas novas da noite na túa cidade, pero sí que pode explotar de tempo en tempo en todo proxecto de software libre. Máis adiante, describirei esta utilidade, darei os principais argumentos a favor e en contra, e darei e mellor recomendación da que son capaz."
ch03.xml:635,"The feature itself is very simple: the mailing list software can, if you wish, automatically set the Reply-to header on every post to redirect replies to the mailing list. That is, no matter what the original sender puts in the Reply-to header (or even if they don't include one at all), by the time the list subscribers see the post, the header will contain the list address:","A utilidade en sí mesma é moi simple: o software de listas de correo pode, se ti queres, configurar automáticamente a cabeceira Respostar-a (Reply-to) en tódalas mensaxes de xeito que as respostas se redirixan á propia lista. Isto é, independentemente do que o remitente poña na cabeceira Contestar-a (e incluso si non poñen nada en absoluto), cando os suscriptores vexan a mensaxe, a cabeceira conterá a dirección da lista:"
ch03.xml:642,Reply-to: discuss@lists.example.org,Respostar-a: discusións@listas.exemplo.org
ch03.xml:644,"On its face, this seems like a good thing. Because virtually all mail reading software pays attention to the Reply-to header, now when anyone responds to a post, their response will be automatically addressed to the entire list, not just to the sender of the message being responded to. Of course, the responder can still manually change where the message goes, but the important thing is that <emphasis>by default</emphasis> replies are directed to the list. It's a perfect example of using technology to encourage collaboration.","De primeiras, parece unha boa idea. Xa que prácticamente todo o software de lectura de correo ten en conta a cabeceira Respostar-a, cando alguén resposte a unha mensaxe, a súa resposta vai ser automáticamente dirixida a toda a lista, non só ao remitente da mensaxe orixinal. Por suposto, quen contesta pode cambiar manualmente o destinatario da súa mensaxe, pero o importante é que <emphasis>por defecto</emphasis> as respostas son dirixidas á lista. É un exemplo perfecto do uso da tecnoloxía para fomentar a colaboración."
ch03.xml:654,"Unfortunately, there are some disadvantages. The first is known as the <firstterm>Can't Find My Way Back Home</firstterm> problem: sometimes the original sender will put their ""real"" email address in the Reply-to field, because for one reason or another they send email from a different address than where they receive it. People who always read and send from the same location don't have this problem, and may be surprised that it even exists. But for those who have unusual email configurations, or who cannot control how the From address on their mails looks (perhaps because they send from work and do not have any influence over the IT department), using Reply-to may be the only way they have to ensure that responses reach them. When such a person posts to a mailing list that he's not subscribed to, his setting of Reply-to becomes essential information. If the list software overwrites it, he may never see the responses to his post.","Deasfortunadamente, hai algunhas desavantaxes. A primeira é coñecida como o problema de <firstterm>Non poido dar có camiño de volta</firstterm>: ás veces o remitente pon a súa dirección ""real"" de correo electrónico na cabeceira Respostar-a, porque por unha razón ou outra manda o seu correo dende unha dirección distinta de onde o recibe. A xente que sempre envía a recibe o seu correo dende a mesma drección on ten este problema, e poida que se sorprenda incluso de que exista. Pero para aqueles que teñen configuracións de coreo inusuais, ou que non poden controlar que dirección pon no De das súas mensaxes (ao mellor porque envían dende o seu traballo e non teñen influencia algunha sobre o seu departamento de TI), usar o Respostar-a pode ser a única maneira de asegurar que lles chegan as respostas. Cando alguén así publica algunha mensaxe nunha lista na que non está suscrito, a súa configuración do Respostar-a vólvese unha información esencial. Si o software da lista sobreescribe esa información, poida que nunca chegue a ver as respostas á súa mensaxe."
ch03.xml:669,"The second disadvantage has to do with expectations, and in my opinion is the most powerful argument against Reply-to munging. Most experienced mail users are accustomed to two basic methods of replying: <firstterm>reply-to-all</firstterm> and <firstterm>reply-to-author</firstterm>. All modern mail reading software has separate keys for these two actions. Users know that to reply to everyone (that is, including the list), they should choose reply-to-all, and to reply privately to the author, they should choose reply-to-author. Although you want to encourage people to reply to the list whenever possible, there are certainly circumstances where a private reply is the responder's prerogative&mdash;for example, they may want to say something confidential to the author of the original message, something that would be inappropriate on the public list.","A segunda desventaxa ten que ver coas espectativas, e na miña opinión é o argumento máis poderoso contra o uso de forzar o Respostar-a. Os usuarios de correo electrónico máis experientados están afeitos a dous étodos básicos de resposta:<firstterm>respostar-a-todos</firstterm> e <firstterm>respostar-ao-remitente</firstterm>. Todos os programas de lectura de correo electrónico modernos teñen botóns diferentes para estas dúas accións. Os usuarios saben que para respostar a todo o mundo (incluíndo a lista) deben escoller respostar-a-todos, e para respostar privadamente ao autor orixinal, deben escoller respostar-ao-remitente. Aínda que desexes fomentar que a xente resposte á lista sempre que sexa posible, hai certas circunstancias nas que a resposta privada é unha decisión de quen resposta&mdash;por exemplo, poden querer decirlle algo confidencial ao autor da mensaxe inicial, algo que resultaría inapropiado publicar na lista."
ch03.xml:684,"Now consider what happens when the list has overridden the original sender's Reply-to. The responder hits the reply-to-author key, expecting to send a private message back to the original author. Because that's the expected behavior, he may not bother to look carefully at the recipient address in the new message. He composes his private, confidential message, one which perhaps says embarrassing things about someone on the list, and hits the send key. Unexpectedly, a few minutes later his message appears <emphasis>on the mailing list!</emphasis> True, in theory he should have looked carefully at the recipient field, and should not have assumed anything about the Reply-to header. But authors almost always set Reply-to to their own personal address (or rather, their mail software sets it for them), and many longtime email users have come to expect that. In fact, when a person deliberately sets Reply-to to some other address, such as the list, he usually makes a point of mentioning this in the body of the message, so people won't be surprised at what happens when they reply.","E agora considera qué pasa cando a lista sobreescribe o Respostar-a do remitente orixinal. Quen resposta pulsa a tecla de responder-ao-remitente, esperando que a mensaxe lle sexa enviada directamente ao autor orixinal. Xa ese é o comportamento esperado, poida que non se preocupe de comprobar a dirección do destinatario na nova mensaxe. Compón a súa mensaxe privada e confidencial, que quizás conteña cousas embarazosas obre alguén da lista, e preme a tecla de enviar. de súpeto, poucos minutos máis tarde, a mensaxe aparece <emphasis>na lista!</emphasis>. Certo, en teoría él tiña que ter comprobado convenientemente que puña no campo Destinatario, e moitos usuarios expertos esperan que se faga así. De feito, cando alguén configura o Respostar-a con calquera outra dirección, como a da lista, xeralmente ten o coidado de mencionar este feito no corpo da mensaxe, de xeito que a xente non se sorprenda de que é o que pasa cando respostan."
ch03.xml:702,"Because of the possibly severe consequences of this unexpected behavior, my own preference is to configure list management software to never touch the Reply-to header. This is one instance where using technology to encourage collaboration has, it seems to me, potentially dangerous side-effects. However, there are also some powerful arguments on the other side of this debate. Whichever way you choose, you will occasionally get people posting to your list asking why you didn't choose the other way. Since this is not something you ever want as the main topic of discussion on your list, it might be good to have a canned response ready, of the sort that's more likely to stop discussion than encourage it. Make sure you do <emphasis>not</emphasis> insist that your decision, whichever it is, is obviously the only right and sensible one (even if you think that's the case). Instead, point out that this is a very old debate, there are good arguments on both sides, no choice is going to satisfy all users, and therefore you just made the best decision you could. Politely ask that the subject not be revisited unless someone has something genuinely new to say, then stay out of the thread and hope it dies a natural death.","Como resultado das consecuencias deste comportamiento inesperado, a miña preferencia pasa por configurar o software de xestión da lista de xeito que nunca toque a cabeceira Respostar-a. Esta é unha das ocasións nas que usar a tecnoloxía para fomentar a colaboración ten, paréceme, efectos colateráis potencialmente perniciosos. En calqueira caso, hai tamén algúns argumentos poderosos a favor da outra banda deste debate. Independientemente do que decidas, recibirás de tempo en tempo mensaxes de xente preguntando por qué non o escolles a outra maneira. Como seguramente non queres que esta cuestión se convirta no principal fío da lista, sería bón que tiveras preparada unha resposta pre-confeccionada, das do tipo que levan ao abandono da discusión, en lugar de fomentala. Debes estar seguro de que <emphasis>non</emphasis> insistes en que a túa decisión, sexa esta a que sexa, é a única correcta (aínda que o penses). Pola contra, explica que este é un debate moi vello, que hai boas razóns nos dous sentidos, que ningunha eección vai saisfacer a tódolos usuarios, e que por conseguinte tomaches a mellor decisión posible. Moi amablemente indica que non se debe reiniciar a discusión sobre a materia salvo que alguén teña algo realmente novo que decir, despóis mantente á marxe do fío e espera a que morra de morte natural."
ch03.xml:722,"Someone may suggest a vote to choose one way or the other. You can do that if you want, but I personally do not feel that counting heads is a satisfactory solution in this case. The penalty for someone who is surprised by the behavior is so huge (accidentally sending a private mail to a public list), and the inconvenience for everyone else is fairly slight (occasionally having to remind someone to respond to the whole list instead of just to you), that it's not clear that the majority, even though they are the majority, should be able to put the minority at such risk.","Alguén pode suxerir que se faga unha votación para decidir unha solución ou a outra. Podes facelo si queres, pero personalmente non me parece que contar cabezas sexa unha boa maneira de resolver a cuestión. O castigo para quen é sorprendido polo comportamento do software da lista (enviando por accidente unha mensaxe privada á lista) é tan grande, e os inconvintes para os demáis son tan leves (tendo que recordarle de tanto en tanto a alguén que resposte á lista en lugar de á túa dirección privada), que non está claro que a mayoría, aínda que sexa precisamente maioría, poida poñer á minoría en tal risco."
ch03.xml:732,"I have not addressed all aspects of this issue here, just the ones that seemed of overriding importance. For a full discussion, see these two canonical documents, which are the ones people always cite when they're having this debate:","Non estou a tratar aquí todos os aspectos do asunto, tan só aqueles que semelan ser da maior importancia. Para un tratamento máis completo, lé estes dous documentos canónicos, que son os que sempre se citan cando xurde este debate:"
ch03.xml:739,"<emphasis role=""bold"">Leave Reply-to alone</emphasis>, <emphasis>by Chip Rosenthal</emphasis>","<emphasis role=""bold"">Leave Reply-to alone</emphasis>, <emphasis>by Chip Rosenthal</emphasis>"
ch03.xml:744,"<emphasis role=""bold"">Set Reply-to to list</emphasis>, <emphasis>by Simon Hill</emphasis>","<emphasis role=""bold"">Set Reply-to to list</emphasis>, <emphasis>by Simon Hill</emphasis>"
ch03.xml:752,"Despite the mild preference indicated above, I do not feel there is a ""right"" answer to this question, and happily participate in many lists that <emphasis>do</emphasis> set Reply-to. The most important thing you can do is settle on one way or the other early, and try not to get entangled in debates about it after that.","A pesares da miña suave preferencia indicada antes, non creo que haxa unha única resposta ""correcta"" para esta cuestión, e de feito participo en moitas listas que escolleron <emphasis>empregar</emphasis> o Respostar-a. O mellor que podes facer é decidirte por unha ou a outra solución o máis cedo posible, e tratar de non enredarte en debates sobre o tema máis adiante."
ch03.xml:759,Two fantasies,Dúas fantasías
ch03.xml:761,"Someday, someone will get the bright idea to implement a <firstterm>reply-to-list</firstterm> key in a mail reader. It would use some of the custom list headers mentioned earlier to figure out the address of the mailing list, and then address the reply directly to the list only, leaving off any other recipient addresses, since most are probably subscribed to the list anyway. Eventually, other mail readers will pick up the feature, and this whole debate will go away. (Actually, the <ulink url=""http://www.mutt.org/"">Mutt</ulink> mail reader does offer this feature.<footnote><para>Shortly after this book appeared, <ulink url=""http://www.michaelbernstein.com/"">Michael Bernstein</ulink> wrote me to say: ""There are other email clients that implement a reply-to-list function besides Mutt. For example, Evolution has this function as a keyboard shortcut, but not a button (Ctrl+L).""</para></footnote>)","Algún día, alguén vai ter a feliz idea de implementar unha tecla <firstterm>respostar-á-lista</firstterm> no seu software de correo electrónico. Empregará algunha das cabeceiras estándar mencionadas anteriormente para deducir a dirección da lista, e entón dirixir as respostas tan só á lista, deixando de lado todas as demáis direccións dos destinatarios, xa que os máis de eles estarán, de todos modos, suscritos. Poida que outros programas de correo copien a idea, e todo este debate desapareza finalmente. (De feito, o programa <ulink url=""http://www.mutt.org/"">Mutt</ulink> ofrece xa esta característica.<footnote><para>Pouco despois de que este libro fora publicado, <ulink url=""http://www.michaelbernstein.com/"">Michael Bernstein</ulink> escribíume para decirme: ""Hai outros programas de correo que incorporan una función de respostar-á-lista ademáis de Mutt. Por exemplo, Evolution ten est afunción en forma de atallo de teclas, aínda que non cun botón (Ctrl+L).""</para></footnote>)"
ch03.xml:775,"An even better solution would be for Reply-to munging to be a per-subscriber preference. Those who want the list to set Reply-to munged (either on others' posts or on their own posts) could ask for that, and those who don't would ask for Reply-to to be left alone. However, I don't know of any list management software that offers this on a per-subscriber basis. For now, we seem to be stuck with a global setting.","Unha solución aínda mellor sería que a opción de Respostar-a estivera da parte de quen resposta. Aqueles que desexan que a lista teña o Respostar-a preconfigurado (ben nas mensaxes dos outros ou nos propios) poderían escoller esta opción, e os demáis escollerían que o Respostar-a se deixara ao seu chou. Nembargantes, non coñezo ningún programa que o faga. De momento, parece que estamos estancados na opción da solución global."
ch03.xml:781,"Since I wrote that, I've learned that there is at least one list management system that offers this feature: <ulink url=""http://siesta.unixbeard.net/"">Siesta</ulink>. See also this article about it: <ulink url=""http://www.perl.com/pub/a/2004/02/05/siesta.html""></ulink>","Dende que escribín o anterior, apredín que hai a lo menos un sistema de xestión de listas que ofrece esta posibilidade: <ulink url=""http://siesta.unixbeard.net/"">Siesta</ulink>. Tamén podes lér este artigo: <ulink url=""http://www.perl.com/pub/a/2004/02/05/siesta.html""></ulink>"
ch03.xml:793,<title>Archiving</title>,<title>Arquivado</title>
ch03.xml:795,"The technical details of setting up mailing list archiving are specific to the software that's running the list, and are beyond the scope of this book. When choosing or configuring an archiver, consider these qualities:","Os detalles técnicos acerca da configuración do arquivado de listas de correo son específicos do software que xestiona a lista, e sobrepasan o ámbito de este libro. Cando elixas ou configures un arquivador, ten en conta as seguintes cualidades:"
ch03.xml:802,Prompt updating,Actualización áxil
ch03.xml:804,"People will often want to refer to an archived post made within the last hour or two. If possible, the archiver should archive each post instantaneously, so that by the time a post appears on the mailing list, it's already present in the archives. If that option isn't available, then at least try to set the archiver to update itself every hour or so. (By default, some archivers run their update processes once per night, but in practice that's far too much lag time for an active mailing list.)","Frecuentemente a xente vai querer referirse a unha mensaxe enviada durante as últimas duas horas. Si fora posible, o arquivador debería almacenar cada mensaxe instantáneamente, de xeito que en canto aparece na lista de correo estea xa dispoñible nos arquivos da mesma. Si esa opción non está dispoñible, entón intenta cando menos configurar o arquivador para que se actualice cada hora. Por defecto, algúns arquivadores lanzan os seus procesos de actualización unha vez cada noite, pero iso supón unha demora craramente inasumible para unha lista de correo medianamente activa."
ch03.xml:816,Referential stability,Estabilidade referencial
ch03.xml:818,"Once a message is archived at a particular URL, it should remain accessible at that exact same URL forever, or as close to forever as possible. Even if the archives are rebuilt, restored from backup, or otherwise fixed, any URLs that have already been made publicly available should remain the same. Stable references make it possible for Internet search engines to index the archives, which is a major boon to users looking for answers. Stable references are also important because mailing list posts and threads are often linked to from the bug tracker (see <xref linkend=""bug-tracker""/><phrase output=""printed""> later in this chapter</phrase>) or from other project documents.","En canto que unha mensaxe é arquivada nunha URL dada, debería permanecer accesible para sempre nesa mesma dirección, ou tan ""para sempre"" como se poida. Incluso si os arquivos son reconstruídos, restaurados dende un ficheiro de respaldo (backup), ou reparado de calqueira outra maneira, as URL que foran públicamente accesibles nun momento dado deben permanecer accesibles. As referencias estables fan posible que os motores de búsqueda en Internet indexen correctamente os arquivos, o que supón unha ventaxa considerable para usuarios que buscan respostas a preguntas concretas. As estabilidade das referencias é tamén importante porque as mensaxes e fíos das listas de correo adoitan estar enlazadas ao xestor de erros (bug tracker) (véxase <xref linkend=""bug-tracker""/><phrase output=""printed""> máis adiante neste capítuo</phrase>) ou a outros documentos do proxecto."
ch03.xml:834,"Ideally, mailing list software would include a message's archive URL, or at least the message-specific portion of the URL, in a header when it distributes the message to recipients. That way people who have a copy of the message would be able to know its archive location without having to actually visit the archives, which would be helpful because any operation that involves one's web browser is automatically time-consuming. Whether any mailing list software actually offers this feature, I don't know; unfortunately, the ones I have used do not. However, it's something to look for (or, if you write mailing list software, it's a feature to consider implementing, please).","Idealmente, o software de listas de correo debería incluir a URL do arquivo de mensaxes, ou cando menos a parte especica da URL que se refire á mensaxe, nunha cabeceira cando distribúa as mensaxes aos seus destinatarios. De este xeito a xente que ten unha copia da mensaxe coñecerá a localización do seu arquivo sin ter que vistar realmente os arquivos, o que é moi útil porque calquera operación que implica o uso do navegador de Internet supón necesariamente un certo consumo de tempo. Non sei si todo o software de listas de correo ofrece esta característica; desafortunadamente, os que eu teño usado non o fan. Nembargantes, é algo sobre o que pesquisar (ou, si tí escribes software para listas de correo, é unha característica que deberías considerar implementar, por favor)"
ch03.xml:850,Backups,Copias de respaldo (Backups)
ch03.xml:852,"It should be reasonably obvious how to back up the archives, and the restoration recipe should not be too difficult. In other words, don't treat your archiver as a black box. You (or someone in your project) should know where it's storing the messages, and how to regenerate the actual archive pages from the message store if it should ever become necessary. Those archives are precious data&mdash;a project that loses them loses a good part of its collective memory.","Como facer copias de respaldo dos arquivos debería ser razoablemente obvio, e a receita de restauración non debería ser moi difícil. En outras palabras, non trates ao teu arquivador como a unha caixa negra. Tí (ou alguén o teu proxecto) deberías saber onde se almacenan as mensaxes, e como rexenerar as páxinas de arquivado desde o almacén de mensaxes no caso de que nalgún momento fora necesario. Eses arquivos conteñen datos preciosos&mdash;un proxecto que os perde, perde tamén un ha parte considerable da súa memoria colectiva."
ch03.xml:864,Thread support,Soporte aos fíos (Threads)
ch03.xml:866,"It should be possible to go from any individual message to the <firstterm>thread</firstterm> (group of related messages) that that original message is part of. Each thread should have its own URL too, separate from the URLs of the individual messages in the thread.","Debería ser posible ir dunha mensaxe dada ao correspondente <firstterm>fío</firstterm> (grupo de mensaxes relacionadas entre si) ao que pertence esa mensaxe en particular. Cada fío debería tamén ter a súa propia URL, distinta das correspondentes ás mensaxes que compoñen o fío."
ch03.xml:874,Searchability,Búsquedas
ch03.xml:876,"An archiver that doesn't support searching&mdash;on the bodies of messages, as well as on authors and subjects&mdash;is close to useless. Note that some archivers support searching by simply farming the work out to an external search engine such as <ulink url=""http://www.google.com/"">Google</ulink>. This is acceptable, but direct search support is usually more fine-tuned, because it allows the searcher to specify that the match must appear in a subject line versus the body, for example.","Un arquivador que non soporta búsquedas&mdash;sobre os corpos das mensaxes, e sobre os seus autores ou asuntos&mdash;é case que inútil. Ten en conta que algúns arquivadores soportan búsquedas simplemente derivándoas a un motor externo tal como <ulink url=""http://www.google.com/"">Google</ulink>. Isto é aceptable, pero o soporte a búsquedas directas normalmente permite un mellor afinado, xa que deixa que o buscador especifique que o resultado debe buscarse na línea de asunto e non no corpo, por exemplo."
ch03.xml:891,"The above is just a technical checklist to help you evaluate and set up an archiver. Getting people to actually <emphasis>use</emphasis> the archiver to the project's advantage is discussed in later chapters, in particular <xref linkend=""using-archives""/>.","O que antecede é simplesmente unha lista de control para axudarte a avaliar e configurar un arquivador. Conseguir que a xente faga un <emphasis>uso</emphasis> real do arquivador en beneficio do proxecto se discute en capítulos posteriores, nomeadamente en <xref linkend=""usando-arquivos""/>."
ch03.xml:901,Software,Software
ch03.xml:903,"Here are some open source tools for doing list management and archiving. If the site where you're hosting your project already has a default setup, then you may not ever have to decide on a tool at all. But if you must install one yourself, these are some possibilities. The ones I have actually used are Mailman, Ezmlm, MHonArc, and Hypermail, but that doesn't mean the others aren't good too (and of course, there are probably other tools out there that I just didn't happen to find, so don't take this as a complete list).","De seguido se comentan algunhas ferramentas de sftware libre para a xestión e o arquivado de listas de correo. Si o sitio no que tés o teu proxecto alonxado ten xa unha configuración por defecto, non vas ter que escoller ningunha ferramenta en particular. Pero si vas ter que instalar unha por tí mesmo, estas son algunhas das posibles. As que eu teño usado son Mailman, Ezmlm, MHonArc, e Hypermail, pero iso non quere decir non haxa outras igual de boas ( e seguro que existen por ahí adiante outras ferramentas que eu nin siqueira din atopado, así que non penses que esta é unha lista completa)."
ch03.xml:913,Mailing list management software:,Software de xestión de listas de correo:
ch03.xml:917,"<emphasis role=""bold"">Mailman</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.list.org/""></ulink>","<emphasis role=""bold"">Mailman</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.list.org/""></ulink>"
ch03.xml:918,"(Has built-in archiver, and hooks for plugging in external archivers.)","(Ten un arquivador incorporado, así como conexións para arquivadores externos)"
ch03.xml:922,"<emphasis role=""bold"">SmartList</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.procmail.org/""></ulink>","<emphasis role=""bold"">SmartList</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.procmail.org/""></ulink>"
ch03.xml:923,(Meant to be used with the Procmail mail processing system.),(Deseñado para ser usado có sistema de procesado de correo electrónico Procmail)
ch03.xml:926,"<emphasis role=""bold"">Ecartis</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.ecartis.org/""></ulink>","<emphasis role=""bold"">Ecartis</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://www.ecartis.org/""></ulink>"
ch03.xml:929,"<emphasis role=""bold"">ListProc</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://listproc.sourceforge.net/""></ulink>","<emphasis role=""bold"">ListProc</emphasis>&nbsp;&mdash;&nbsp;<ulink url=""http://listproc.sourceforge.net/""></ulink>"
